"Município";"Poliomielite";"Poliomielite 4 anos";" Total"
"110001 ALTA FLORESTA D\'OESTE";"92,00";"62,99";"76,88"
"110002 ARIQUEMES";"79,11";"71,41";"75,46"
"110003 CABIXI";"106,56";"77,38";"89,66"
"110004 CACOAL";"80,62";"92,00";"85,67"
"110005 CEREJEIRAS";"94,49";"114,35";"103,77"
"110006 COLORADO DO OESTE";"81,17";"55,27";"67,83"
"110007 CORUMBIARA";"151,25";"94,83";"117,86"
"110008 COSTA MARQUES";"70,71";"40,00";"52,99"
"110009 ESPIGAO D\'OESTE";"67,48";"68,37";"67,90"
"110010 GUAJARA-MIRIM";"34,97";"28,66";"31,78"
"110011 JARU";"99,74";"71,85";"85,78"
"110012 JI-PARANA";"85,47";"75,01";"80,45"
"110013 MACHADINHO D\'OESTE";"94,66";"60,00";"74,69"
"110014 NOVA BRASILANDIA D\'OESTE";"81,95";"45,88";"61,16"
"110015 OURO PRETO DO OESTE";"67,55";"53,22";"60,40"
"110018 PIMENTA BUENO";"87,06";"87,32";"87,18"
"110020 PORTO VELHO";"64,94";"73,91";"68,97"
"110025 PRESIDENTE MEDICI";"68,68";"44,22";"55,63"
"110026 RIO CRESPO";"77,78";"81,48";"79,80"
"110028 ROLIM DE MOURA";"57,87";"58,32";"58,08"
"110029 SANTA LUZIA D\'OESTE";"66,99";"50,00";"58,29"
"110030 VILHENA";"96,72";"89,47";"93,29"
"110032 SAO MIGUEL DO GUAPORE";"64,81";"61,32";"63,04"
"110033 NOVA MAMORE";"63,90";"50,00";"56,89"
"110034 ALVORADA D\'OESTE";"101,84";"54,36";"73,51"
"110037 ALTO ALEGRE DOS PARECIS";"81,65";"59,28";"68,60"
"110040 ALTO PARAISO";"80,63";"35,42";"55,10"
"110045 BURITIS";"69,43";"62,56";"65,96"
"110050 NOVO HORIZONTE DO OESTE";"101,20";"41,48";"64,22"
"110060 CACAULANDIA";"75,38";"65,26";"69,38"
"110070 CAMPO NOVO DE RONDONIA";"63,75";"41,77";"50,63"
"110080 CANDEIAS DO JAMARI";"53,30";"3,44";"27,90"
"110090 CASTANHEIRAS";"75,00";"69,57";"71,95"
"110092 CHUPINGUAIA";"44,52";"36,91";"40,79"
"110094 CUJUBIM";"102,08";"53,27";"71,02"
"110100 GOVERNADOR JORGE TEIXEIRA";"55,00";"38,22";"44,75"
"110110 ITAPUA DO OESTE";"102,30";"57,72";"74,15"
"110120 MINISTRO ANDREAZZA";"98,91";"47,74";"66,80"
"110130 MIRANTE DA SERRA";"44,06";"18,09";"29,31"
"110140 MONTE NEGRO";"101,09";"73,03";"85,14"
"110143 NOVA UNIAO";"63,95";"2,80";"30,05"
"110145 PARECIS";"59,57";"45,24";"50,38"
"110146 PIMENTEIRAS DO OESTE";"41,67";"41,03";"41,38"
"110147 PRIMAVERA DE RONDONIA";"72,41";"155,81";"107,92"
"110148 SAO FELIPE D\'OESTE";"56,52";"48,72";"52,38"
"110149 SAO FRANCISCO DO GUAPORE";"60,33";"67,14";"63,61"
"110150 SERINGUEIRAS";"84,88";"53,37";"68,22"
"110155 TEIXEIROPOLIS";"41,51";"34,43";"37,72"
"110160 THEOBROMA";"34,33";"14,72";"23,57"
"110170 URUPA";"98,55";"72,19";"83,38"
"110175 VALE DO ANARI";"21,52";"28,75";"26,36"
"110180 VALE DO PARAISO";"59,72";"50,94";"54,49"
"120001 ACRELANDIA";"80,00";"28,33";"53,89"
"120005 ASSIS BRASIL";"59,03";"60,56";"59,62"
"120010 BRASILEIA";"54,68";"19,41";"39,25"
"120013 BUJARI";"37,01";"53,61";"43,18"
"120017 CAPIXABA";"26,01";"36,76";"30,88"
"120020 CRUZEIRO DO SUL";"54,92";"27,42";"40,78"
"120025 EPITACIOLANDIA";"31,09";"23,08";"26,94"
"120030 FEIJO";"46,07";"15,80";"30,55"
"120032 JORDAO";"70,49";"100,47";"84,53"
"120033 MANCIO LIMA";"75,00";"26,50";"49,93"
"120034 MANOEL URBANO";"35,98";"33,33";"34,80"
"120035 MARECHAL THAUMATURGO";"86,24";"54,30";"68,55"
"120038 PLACIDO DE CASTRO";"88,93";"38,00";"60,63"
"120039 PORTO WALTER";"56,37";"35,05";"45,09"
"120040 RIO BRANCO";"54,80";"52,88";"53,85"
"120042 RODRIGUES ALVES";"37,50";"14,96";"25,24"
"120043 SANTA ROSA DO PURUS";"73,08";"44,51";"59,54"
"120045 SENADOR GUIOMARD";"40,88";"19,43";"29,81"
"120050 SENA MADUREIRA";"74,69";"48,16";"60,79"
"120060 TARAUACA";"28,32";"22,93";"25,74"
"120070 XAPURI";"25,71";"8,54";"16,61"
