"Unidade Federação";"2015";"2016";"2017";"2018";"2019";"2020";" Total"
"Acre";"28,01";"19,60";"19,57";"6,50";"23,99";"13,61";"22,52"
"Alagoas";"18,05";"20,00";"25,45";"13,01";"17,41";"27,43";"20,87"
"Amapá";"30,91";"18,78";"27,30";"24,59";"27,09";"35,31";"26,23"
"Amazonas";"16,40";"15,49";"18,31";"22,53";"26,38";"20,62";"18,12"
"Bahia";"15,93";"12,39";"14,62";"21,50";"25,60";"33,23";"16,60"
"Ceará";"14,54";"14,94";"21,89";"17,75";"22,89";"28,35";"18,50"
"Distrito Federal";"11,83";"17,00";"17,05";"14,81";"20,28";"27,87";"17,91"
"Espírito Santo";"17,41";"11,79";"13,61";"14,96";"18,99";"16,59";"14,89"
"Goiás";"10,89";"10,04";"17,14";"16,26";"21,21";"25,19";"13,60"
"Maranhão";"17,08";"20,44";"21,11";"20,46";"21,84";"22,82";"19,85"
"Mato Grosso";"14,13";"8,88";"13,51";"13,52";"18,72";"23,68";"12,96"
"Mato Grosso do Sul";"15,77";"10,46";"18,11";"15,18";"11,33";"26,77";"14,62"
"Minas Gerais";"18,20";"7,83";"12,42";"22,23";"25,72";"26,67";"14,77"
"Pará";"27,11";"19,96";"22,24";"23,43";"21,89";"25,56";"23,08"
"Paraíba";"14,39";"15,86";"20,57";"15,18";"12,44";"21,50";"16,23"
"Paraná";"12,68";"10,63";"10,57";"27,52";"16,56";"15,68";"13,95"
"Pernambuco";"20,71";"12,64";"13,49";"10,87";"18,02";"18,84";"15,65"
"Piauí";"19,34";"8,99";"13,79";"14,17";"15,06";"23,07";"14,08"
"Rio de Janeiro";"16,37";"2,98";"8,98";"0,85";"0";"31,97";"8,05"
"Rio Grande do Norte";"20,26";"20,04";"24,07";"14,56";"18,44";"19,92";"21,10"
"Rio Grande do Sul";"16,78";"10,88";"10,95";"9,50";"15,04";"27,56";"12,80"
"Rondônia";"21,00";"15,44";"11,12";"24,07";"17,70";"29,37";"15,70"
"Roraima";"14,75";"14,22";"8,58";"18,15";"16,37";"31,27";"13,39"
"Santa Catarina";"12,92";"8,48";"15,53";"14,61";"15,86";"22,85";"13,39"
"São Paulo";"15,02";"16,15";"18,10";"17,42";"24,58";"15,75";"17,42"
"Sergipe";"19,38";"19,92";"26,15";"14,54";"16,46";"23,28";"21,80"
"Tocantins";"18,89";"11,33";"12,97";"13,28";"14,68";"26,44";"14,57"
"Total";"15,83";"14,00";"16,42";"15,34";"21,60";"19,65";"16,03"
